,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
218,1043,54.2,,400m,MARCHIANDO Eleonora,SF,C.S. CARABINIERI SEZ. ATLETICA
219,1043,54.2,,400m,BORGA Rebecca,SF,G.A. FIAMME GIALLE
220,1043,54.18,,400m,TESSAROLO Zoe,PF,ATL.VICENTINA
221,1043,13.81,0.5,100Hs_h84-8.50,BALLIN Azzurra,PF,ASSINDUSTRIA SPORT
222,1042,261.02,,1500m,CALDARINI Livia,SF,ATL.STUD. RIETI ANDREA MILARDI
223,1042,51.8,,400Hs_h91,BERTOLDO Michele,SM,C.S. CARABINIERI SEZ. ATLETICA
224,1042,827.35,,5000m,ARESE Pietro,SM,G.A. FIAMME GIALLE
225,1042,6.2,2.0,lungo,GALVANI Chiara,SF,ATL. BRESCIA 1950
226,1041,59.35,,400Hs_h76,MARCOMIN Giorgia,SF,ATL. O.S.A. SARONNO LIB.
227,1040,828.12,,5000m,GUERRA Francesco,SM,C.S. CARABINIERI SEZ. ATLETICA
228,1040,10.5,0.9,100m,SERRONE Giuseppe,SM,ADEN EXPRIVIA DAI OPTICAL MOLF
229,1040,18.63,,peso_7kg,DEL GATTO Lorenzo,SM,C.S. CARABINIERI SEZ. ATLETICA
230,1040,623.12,,3000st_h76,VETTOR Giulia,SF,C.U.S. PARMA
231,1040,11.76,1.5,100m,ANGELINI Ilenia,PF,C.S. ESERCITO
232,1039,14.15,0.7,110Hs_h106-9.14,CAIANI Andrea,PM,TEAM-A LOMBARDIA
233,1039,13.23,0.7,triplo,SMERALDO Chiara,SF,A.S.D.  C.U.S. GENOVA
234,1038,69.33,,martello_7kg,IACOCCA Filippo maria,PM,S.S. VITTORIO ALFIERI ASTI
235,1038,51.89,,400Hs_h91,SOMMACAL Alessio,SM,A.S. DIL. MILONE
236,1038,624.17,,3000st_h76,BORELLO Sara,SF,ATLETICA CANAVESANA
237,1037,54.35,,400m,FOUDRAZ Eleonora,SF,ATLETICA SANDRO CALVESI
238,1037,54.36,,400m,FOUDRAZ Eleonora,SF,ATLETICA SANDRO CALVESI
239,1037,21.21,-3.8,200m,DEZZA Filippo,PM,BERGAMO STARS ATLETICA
240,1036,829.14,,5000m,PAROLINI Sebastiano,SM,G. ALPINISTICO VERTOVESE
241,1036,225.35,,1500m,BAIOCCHI Nicola,PM,ATLETICA LIVORNO
242,1036,47.14,,400m,FALSETTI Federico,PM,ASSI GIGLIO ROSSO FIRENZE
243,1035,58.56,,disco_2kg,MANNUCCI Alessio,SM,C.S. AERONAUTICA MILITARE
244,1035,47.16,,400m,MELI Riccardo,SM,G.A. FIAMME GIALLE
245,1034,10.52,1.1,100m,GUGLIELMI Federico,SM,C.S. CARABINIERI SEZ. ATLETICA
246,1034,59.58,,400Hs_h76,GHERGO Angelica,SF,C.S. ESERCITO
247,1034,11.79,0.8,100m,ANGELINI Ilenia,PF,C.S. ESERCITO
248,1034,10.52,0.7,100m,SANSOVINI Francesco,SM,OLIMPUS SAN MARINO ATLETICA
249,1033,15.76,0.7,triplo,TOSTI Gabriele,SM,BERGAMO STARS ATLETICA
250,1033,54.45,,400m,ZAGO Samantha,SF,C.U.S. PARMA
251,1033,13.17,0.3,triplo,COMOLLO Elena,PF,SISPORT SSD
252,1033,47.19,,400m,RAIMONDI Matteo,SM,PRO SESTO ATL. CERNUSCO
253,1033,6.16,1.2,lungo,LUNARDON Alice,SF,GS LA PIAVE 2000
254,1033,1.81,,alto,DE MARCHI Giulia,SF,ATL.VICENTINA
255,1033,54.45,,400m,ROSSI Camilla,PF,TOSCANA ATL.EMPOLI NISSAN
256,1032,54.47,,400m,DEMATTE' Nancy,PF,U.S. QUERCIA DAO CONAD
257,1032,13.89,0.5,100Hs_h84-8.50,NESSENZIA Elena,PF,GS LA PIAVE 2000
258,1032,626.53,,3000st_h76,SORRENTINO Erica,SF,BRACCO ATLETICA
259,1032,225.67,,1500m,FILIPPI Giovanni,SM,C.S. ESERCITO
260,1031,10.53,0.7,100m,RIGALI Roberto,SM,C.S. CARABINIERI SEZ. ATLETICA
261,1031,47.21,,400m,BENATI Lorenzo,SM,G.S. FIAMME AZZURRE
262,1031,52.04,,400Hs_h91,CONTINI Mattia,SM,C.S. AERONAUTICA MILITARE
263,1030,15.73,0.3,triplo,BRUNO Federico lorenzo,PM,ATHLETIC CLUB 96 ALPERIA
264,1030,21.26,-2.7,200m,MESSINA Paolo,SM,G.A. FIAMME GIALLE
265,1030,52.06,,400Hs_h91,BERRINO Riccardo,SM,C.S. AERONAUTICA MILITARE
266,1030,11.81,1.2,100m,MELON Chiara,SF,G.S. FIAMME AZZURRE
267,1029,74.87,,giavellotto_800g,FRATTINI Giovanni,SM,C.S. CARABINIERI SEZ. ATLETICA
268,1029,2797.24,,Marcia_10km,LUCENTINI Giulia,PF,ATL.VICENTINA
269,1028,13.12,0.1,triplo,BRUGNOLO Greta,PF,ATL.STUD. RIETI ANDREA MILARDI
270,1028,127.76,,800m,ROVERE Elisa,SF,ATL BRUGNERA PN FRIULINTAGLI
271,1028,109.94,,800m,BRUGNIZZA Emanuele,SM,ATLETICA MALIGNANI LIBERTAS UD
272,1028,109.91,,800m,DE ROSA Davide,PM,C.S. ESERCITO
273,1027,10.54,0.5,100m,FEDERICI Andrea,SM,ASD ATLETICA BIOTEKNA
274,1027,54.61,,400m,CAVALIERI Anna,SF,ASD LA FRATELLANZA 1874
275,1027,59.81,,400Hs_h76,CANTERGIANI Sara,SF,G.S.SELF ATL. MONTANARI GRUZZA
276,1027,4.22,,asta,GHERCA Maria roberta,SF,C.S. AERONAUTICA MILITARE
277,1027,531.97,,3000st_h91,CANNIZZARO Carmelo,SM,A.S.D. RUNNING MODICA
278,1026,59.84,,400Hs_h76,CALGARINI Chiara,SF,ATLETICA LUGO
279,1026,11.83,1.2,100m,HERRERA ABREU Johanelis,SF,C.S. AERONAUTICA MILITARE
280,1025,6.12,1.0,lungo,RICCARDI Giulia,PF,G.S. TRILACUM
281,1025,6.12,2.0,lungo,CRIDA Veronica,SF,ATL. BRESCIA 1950
282,1024,21.3,-2.7,200m,PETTOROSSI Diego aldo,SM,ATL.LIBERTAS UNICUSANO LIVORNO
