tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
59.81,,ANDREUCCI Filippo,1989,JM,ASSI BANCA TOSCANA FIRENZE,2 su- 1,Siena,2008-09-13,https://www.fidal.it/atleta/ANDREUCCI-Filippo/faiRm5akaGg%3D,https://www.fidal.it/societa/ASSI-BANCA-TOSCANA-FIRENZE/FI001
59.81,,MAGAGNATO Roberto,1990,JM,JAGER ATLETICA VITTORIO V.TO,2 se- 4,Lodi,2008-09-28,https://www.fidal.it/atleta/MAGAGNATO-Roberto/eKiRlZakb2w%3D,https://www.fidal.it/societa/JAGER-ATLETICA-VITTORIO-V-TO/TV361
59.82,,QUINTERI Nicola,1980,SM,N.ATL. FANFULLA LODIGIANA,1 se- 2,Brescia,2008-09-20,https://www.fidal.it/atleta/QUINTERI-Nicola/dq2Rk5aka2Y%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
59.7,,LA RUNA Salvatore,1990,JM,A.S.D. LIBERTAS SOLARINO,1 se- 1,Siracusa,2008-05-09,https://www.fidal.it/atleta/LA-RUNA-Salvatore/h6iRlZmlcWw%3D,https://www.fidal.it/societa/A-S-D--LIBERTAS-SOLARINO/SR140
59.84,,UNTERHAUSER Thomas,1990,JM,SSV BRUNECK BRUNICO VOLKSBANK,18 se- 3,Regensburg,2008-06-08,https://www.fidal.it/atleta/UNTERHAUSER-Thomas/iaiRkpigcWQ%3D,https://www.fidal.it/societa/SSV-BRUNECK-BRUNICO-VOLKSBANK/BZ008
59.7,,ELIA Marco,1990,JM,S.S.FIAMMA ATL.CATANZARO,1 su- 1,Sellia Marina,2008-10-19,https://www.fidal.it/atleta/ELIA-Marco/hqiRk5eoa2k%3D,https://www.fidal.it/societa/S-S-FIAMMA-ATL-CATANZARO/CZ010
59.85,,LA RUNA Salvatore,1990,JM,A.S.D. LIBERTAS SOLARINO,2 se- 1,Catania,2008-05-18,https://www.fidal.it/atleta/LA-RUNA-Salvatore/h6iRlZmlcWw%3D,https://www.fidal.it/societa/A-S-D--LIBERTAS-SOLARINO/SR140
59.89,,CALLIGARO Andrea,1989,JM,ATLETICA GORIZIA CA. RI. FVG,4 se- 1,Pordenone,2008-05-28,https://www.fidal.it/atleta/CALLIGARO-Andrea/eamRkpihaGQ%3D,https://www.fidal.it/societa/ATLETICA-GORIZIA-CA--RI--FVG/GO050
59.90,,MAGAGNATO Roberto,1990,JM,JAGER ATLETICA VITTORIO V.TO,2 se- 2,Padova,2008-09-14,https://www.fidal.it/atleta/MAGAGNATO-Roberto/eKiRlZakb2w%3D,https://www.fidal.it/societa/JAGER-ATLETICA-VITTORIO-V-TO/TV361
59.91,,UNTERHAUSER Thomas,1990,JM,SSV BRUNECK BRUNICO VOLKSBANK,3 su- 1,Brunico,2008-05-27,https://www.fidal.it/atleta/UNTERHAUSER-Thomas/iaiRkpigcWQ%3D,https://www.fidal.it/societa/SSV-BRUNECK-BRUNICO-VOLKSBANK/BZ008
59.92,,GIUFFRIDA Paolo,1987,PM,ATLETICA LIVORNO,3 se- 2,Quarrata,2008-06-04,https://www.fidal.it/atleta/GIUFFRIDA-Paolo/faiRlJaha2c%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
59.93,,ANDREUCCI Filippo,1989,JM,ASSI BANCA TOSCANA FIRENZE,5 se- 2,Cesenatico,2008-09-28,https://www.fidal.it/atleta/ANDREUCCI-Filippo/faiRm5akaGg%3D,https://www.fidal.it/societa/ASSI-BANCA-TOSCANA-FIRENZE/FI001
59.96,,SPANU Marco,1984,SM,SS ATL ORISTANO,1 su- 1,Oristano,2008-09-18,https://www.fidal.it/atleta/SPANU-Marco/iKiRk5umbGg%3D,https://www.fidal.it/societa/SS-ATL-ORISTANO/OR030
59.98,,DECORATO Angelo,1991,AM,A.S.D. LIB. POL. AMAT. ATL. BN,3 su- 1,Avellino,2008-04-25,https://www.fidal.it/atleta/DECORATO-Angelo/gKiRlZuib2Y%3D,https://www.fidal.it/societa/A-S-D--LIB--POL--AMAT--ATL--BN/BN026
59.99,,CERELLI Andrea,1992,AM,P.P. BUSTESE ATL. MONDO,3 se- 4,Saronno,2008-05-18,https://www.fidal.it/atleta/CERELLI-Andrea/drKRkpWfbmo%3D,https://www.fidal.it/societa/P-P--BUSTESE-ATL--MONDO/VA121
