,punti TOT,lungo,lungo p,200m,200m p,100Hs_h84-8.50,100Hs_h84-8.50 p,asta,asta p,giavellotto_600g,giavellotto_600g p,atleta,link_atleta
117,2468.0,5.38,665.0,28.8,569.0,18.65,424.0,2.8,488.0,21.76,322.0,MADONNA Debora,https://www.fidal.it/atleta/MADONNA-Debora/gaiRk5ejaWc%3D
118,2463.0,5.04,570.0,29.93,487.0,16.54,649.0,2.2,282.0,29.89,475.0,NEGRO Valentina,https://www.fidal.it/atleta/NEGRO-Valentina/dKAAARkpqhbms%3D
119,2452.0,4.26,369.0,28.61,584.0,18.23,465.0,3.3,680.0,23.48,354.0,CIATTI Erica,https://www.fidal.it/atleta/CIATTI-Erica/f66RkpOma2g%3D
120,2430.0,5.12,592.0,28.89,562.0,17.13,582.0,2.5,382.0,21.22,312.0,MALGERI Silvia,https://www.fidal.it/atleta/MALGERI-Silvia/h6iRlpKgaWY%3D
121,2424.0,5.74,771.0,27.36,682.0,18.18,470.0,1.8,163.0,22.61,338.0,DOVARCH Giulia,https://www.fidal.it/atleta/DOVARCH-Giulia/f6qRkpShcWw%3D
122,2411.0,4.13,338.0,30.06,478.0,17.04,592.0,3.4,721.0,19.61,282.0,BORGHI Sara,https://www.fidal.it/atleta/BORGHI-Sara/dq2Rk5KlaWs%3D
123,2410.0,4.66,469.0,27.22,694.0,15.94,722.0,2.1,251.0,19.19,274.0,SFULCINI Chiara,https://www.fidal.it/atleta/SFULCINI-Chiara/eqiRlZmgaGk%3D
124,2408.0,5.06,576.0,27.6,663.0,15.36,795.0,1.2,25.0,23.2,349.0,ACQUADRO PACERA Giulia,https://www.fidal.it/atleta/ACQUADRO-PACERA-Giulia/dKAAARlJOmaWo%3D
125,2402.0,4.65,466.0,28.3,607.0,19.25,367.0,3.2,641.0,21.74,321.0,MOLINARI Margherita,https://www.fidal.it/atleta/MOLINARI-Margherita/dayRkpKhbWc%3D
126,2382.0,4.61,456.0,29.45,521.0,17.16,579.0,3.4,721.0,9.95,105.0,DAVOLI Giada azzurra,https://www.fidal.it/atleta/DAVOLI-Giada-azzurra/eqiRlpSfbWY%3D
127,2375.0,4.82,511.0,28.57,587.0,17.59,532.0,2.5,382.0,23.98,363.0,LAZZARI Ludovica,https://www.fidal.it/atleta/LAZZARI-Ludovica/eqmRkpekcGo%3D
128,2364.0,5.34,654.0,27.44,676.0,16.97,600.0,1.8,163.0,19.03,271.0,CARNEVALI Greta,https://www.fidal.it/atleta/CARNEVALI-Greta/eqAAARkpSfbmM%3D
129,2358.0,4.75,492.0,29.49,518.0,18.68,421.0,2.5,382.0,33.62,545.0,LUNGO Clizia,https://www.fidal.it/atleta/LUNGO-Clizia/f6qRkpOlbWs%3D
130,2353.0,4.32,384.0,27.7,655.0,17.94,495.0,2.9,526.0,20.21,293.0,SIGNORETTO Giorgia,https://www.fidal.it/atleta/SIGNORETTO-Giorgia/eKAAARk5OhaWg%3D
131,2349.0,4.52,433.0,28.44,597.0,16.71,630.0,2.7,452.0,17.18,237.0,LERTORA Mara,https://www.fidal.it/atleta/LERTORA-Mara/damRkpegbmQ%3D
