prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
14.95,,14.95,0,BESANA Giovanni,1990,AM,ATL. BERGAMO 1959 CREBERG,2 se- 1,Cremona,2007-09-30,https://www.fidal.it/atleta/BESANA-Giovanni/dqmRl5OfaWY%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-CREBERG/BG003
14.94,,14.94,0,MONTANARI Michele,1991,AM,U.S. MAURINA OLIO CARLI,1 su- 1,Camporosso,2007-07-11,https://www.fidal.it/atleta/MONTANARI-Michele/daiUlpKkamY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
14.93,,14.93,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 su- 1,Savona,2007-05-23,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
14.93,,14.93,0,MORTINI Andrea,1990,AM,ASS.ATL.LIBERTAS ORVIETO,1 qu- 1,Orvieto,2007-05-26,https://www.fidal.it/atleta/MORTINI-Andrea/fqiRk5qjcGY%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
14.92,,14.92,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Reggio Calabria,2007-05-05,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
14.91,,14.91,0,SARNELLI Umberto,1990,AM,GINNASTICA COMENSE 1872,1 se- 1,Milano,2007-09-09,https://www.fidal.it/atleta/SARNELLI-Umberto/dquRkpWhbms%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
14.91,,14.91,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,1 su- 1,Marcon,2007-09-19,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
14.88,,14.88,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 fi- 1,Reggio Calabria,2007-10-28,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
14.88,,14.88,0,PICCIONE Andrea,1991,AM,AMATORI ATL. ACQUAVIVA,1 su- 1,Acquaviva Delle Fonti,2007-10-28,https://www.fidal.it/atleta/PICCIONE-Andrea/hKiSmpWlaGQ%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
14.87,,14.87,0,MONTANARI Michele,1991,AM,U.S. MAURINA OLIO CARLI,2 se- 1,Mondovi,2007-04-29,https://www.fidal.it/atleta/MONTANARI-Michele/daiUlpKkamY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
14.87,,14.87,0,POLI Simone,1990,AM,TOSCANA ATLETICA,1 su- 1,Lucca,2007-05-13,https://www.fidal.it/atleta/POLI-Simone/faiRm5qkcWM%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA/FI018
14.87,,14.87,0,RIDOLFI Braian,1990,AM,A.A.F. FRIUL GREEN,9 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/RIDOLFI-Braian/eayRk5KkaWU%3D,https://www.fidal.it/societa/A-A-F--FRIUL-GREEN/UD115
