gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
Marcia_10km,56.47,,56.47,VITIELLO Sara,1996,AF,G.S.SELF ATL. MONTANARI GRUZZA,13 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/VITIELLO-Sara/erGRkpKfcWk%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
Marcia_10km,57.22,,57.22,MAZZEI Claudia,1980,SF,CUS PISA ATLETICA CASCINA,14 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/MAZZEI-Claudia/faiRkpajaWY%3D,https://www.fidal.it/societa/CUS-PISA-ATLETICA-CASCINA/PI071
Marcia_10km,58.06,,58.06,CORMACI Silvia,1994,JF,TOSCANA ATL.EMPOLI NISSAN,15 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/CORMACI-Silvia/faiSkpKjcGw%3D,https://www.fidal.it/societa/TOSCANA-ATL-EMPOLI-NISSAN/FI007
Marcia_10km,60.45,,1:00.45,SIGNORELLI Chiara,1986,SF,G.S.SELF ATL. MONTANARI GRUZZA,16 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/SIGNORELLI-Chiara/eqiRlJqgbGY%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
Marcia_10km,61.54,,1:01.54,SCALIA Anna,1989,SF,A.S.D. ATLETICA 2001 S.P. CLAR,17 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/SCALIA-Anna/h6iRlJikbmw%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-2001-S-P--CLAR/CT213
Marcia_10km,516.75,,8:36.5,FANELLI-TURSI-BENATI-BAMBOZZI,,XM,RIFONDAZIONE PODISTICA,1 se- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/RIFONDAZIONE-PODISTICA/RM074
Marcia_10km,516.75,,8:36.5,FANELLI-TURSI-BENATI-BAMBOZZI,,XM,RIFONDAZIONE PODISTICA,1 su- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/RIFONDAZIONE-PODISTICA/RM074
Marcia_10km,565.65,,9:25.4,BERTACCINI-FULLONE-GUSAI-GIORDANO,,XM,A.S. ATL. VILLA GUGLIELMI,2 se- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/A-S--ATL--VILLA-GUGLIELMI/RM196
Marcia_10km,593.65,,9:53.4,LoPiccolo-Arcidiacono-Ranieri-Monti,,XM,VIOLETTACLUB,1 su- 1,Reggio Calabria,2005-04-17,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
Marcia_10km,488.45,,8:08.2,DI CORATO-PARISI-DI LASCIO-TRAGNO,,XM,AMATORI ATL. ACQUAVIVA,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
Marcia_10km,495.45,,8:15.2,MINGOLLA S. - SOLETI D. - INSALAT M. - MARANGI A.,,XM,ATL. AMATORI CISTERNINO,2 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/ATL--AMATORI-CISTERNINO/BR104
Marcia_10km,505.55,,8:25.3,"MERCURI,BONADDIO,CARDAMONE,BRUNO",,XM,LIBERTAS ATL.LAMEZIA,1 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/LIBERTAS-ATL-LAMEZIA/CZ009
Marcia_10km,515.6,,8:35.60,ZAOUIA RENZI FERRETTI DEMASI,,XM,ATLETICA FABRIANO - OSIMO,1 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
